倒序	倒序 ‮
百貨大樓	百貨大樓 🏬
百貨公司	百貨公司 🏬
百貨商店	百貨商店 🏬
百慕达	百慕达 🇧🇲
百慕達	百慕達 🇧🇲
百慕大	百慕大 🇧🇲
柏树	柏树 🌳
柏樹	柏樹 🌳
拜拜	拜拜 👋
拜托	拜托 🙏
拜託	拜託 🙏
扳手	扳手 🔧
板栗	板栗 🌰
板球	板球 🏏
板球棒	板球棒 🏏
板札	板札 🙌
版权	版权 ©
版權	版權 ©
办公大楼	办公大楼 🏢
办公楼	办公楼 🏢
半身像	半身像 👤
半月	半月 🌓
扮鬼脸	扮鬼脸 😜
扮鬼臉	扮鬼臉 😜
扮酷	扮酷 😎
辦公大樓	辦公大樓 🏢
辦公樓	辦公樓 🏢
绑上缎带的心	绑上缎带的心 💝
綁上緞帶的心	綁上緞帶的心 💝
傍晚	傍晚 🌆
棒	棒 👍 💯 😺
棒棒糖	棒棒糖 🍭
棒球	棒球 ⚾
包	包 👝
包谷	包谷 🌽
包穀	包穀 🌽
包裹	包裹 📦
包米	包米 🌽
包头巾	包头巾 👳
包头巾的男人	包头巾的男人 👳
包頭巾	包頭巾 👳
包頭巾的男人	包頭巾的男人 👳
包装盒	包装盒 🎁
包裝盒	包裝盒 🎁
宝宝	宝宝 👶 🚼
宝贝	宝贝 👶
宝石	宝石 💎 💠
保加利亚	保加利亚 🇧🇬
保加利亞	保加利亞 🇧🇬
保龄	保龄 🎳
保龄球	保龄球 🎳
保齡	保齡 🎳
保齡球	保齡球 🎳
堡垒	堡垒 🏰
堡壘	堡壘 🏰
寶寶	寶寶 👶 🚼
寶貝	寶貝 👶
寶石	寶石 💎 💠
报表	报表 📊
报警	报警 🚔
报刊	报刊 📰
报纸	报纸 📰
抱抱	抱抱 🤗
豹	豹 🐆
豹子	豹子 🐆
報表	報表 📊
報警	報警 🚔
報刊	報刊 📰
報紙	報紙 📰
爆米花	爆米花 🍿
爆炸	爆炸 💥
悲伤	悲伤 😢 😭
悲傷	悲傷 😢 😭
悲痛	悲痛 😢
北朝鲜	北朝鲜 🇰🇵
北朝鮮	北朝鮮 🇰🇵
北韩	北韩 🇰🇵
北韓	北韓 🇰🇵
北马里亚纳群岛	北马里亚纳群岛 🇲🇵
北马利安纳群岛	北马利安纳群岛 🇲🇵
北馬里亞納群島	北馬里亞納群島 🇲🇵
北馬利安納群島	北馬利安納群島 🇲🇵
贝	贝 🐚
贝壳	贝壳 🐚
贝类	贝类 🐚
贝里斯	贝里斯 🇧🇿
贝南	贝南 🇧🇯
贝宁	贝宁 🇧🇯
貝	貝 🐚
貝類	貝類 🐚
貝里斯	貝里斯 🇧🇿
貝南	貝南 🇧🇯
貝寧	貝寧 🇧🇯
貝殼	貝殼 🐚
备忘	备忘 📝
备忘录	备忘录 📕 📝
背包	背包 🎒
背心	背心 🎽
被骗	被骗 💸
被騙	被騙 💸
備忘	備忘 📝
備忘錄	備忘錄 📕 📝
奔马	奔马 🐎
奔馬	奔馬 🐎
奔跑	奔跑 🏃
笨蛋	笨蛋 🐷
鼻	鼻 👃
鼻子	鼻子 👃
匕手	匕手 🗡
比	比 🆚
比基尼	比基尼 👙
比利时	比利时 🇧🇪
比利時	比利時 🇧🇪
比萨	比萨 🍕
比萨片	比萨片 🍕
比薩	比薩 🍕
比薩片	比薩片 🍕
比赛	比赛 🆚
比賽	比賽 🆚
笔电	笔电 💻
笔记	笔记 📒
笔记本	笔记本 💻 📓 📔
笔记本电脑	笔记本电脑 💻
笔记簿	笔记簿 📓 📔
笔录	笔录 📝
筆電	筆電 💻
筆記	筆記 📒
筆記本	筆記本 💻 📓 📔
筆記本電腦	筆記本電腦 💻
筆記簿	筆記簿 📓 📔
筆錄	筆錄 📝
鄙视	鄙视 👎 🖕 😒
鄙視	鄙視 👎 🖕 😒
毕业	毕业 🎓
毕业帽	毕业帽 🎓
闭目养神	闭目养神 😑
闭眼	闭眼 😝
闭嘴	闭嘴 😠 😷 🙊 🤐
畢業	畢業 🎓
畢業帽	畢業帽 🎓
閉目養神	閉目養神 😑
閉眼	閉眼 😝
閉嘴	閉嘴 😠 ?? 🙊 🤐
壁炉钟	壁炉钟 🕰
壁爐鐘	壁爐鐘 🕰
边防	边防 🛂
边检	边检 🛂
邊防	邊防 🛂
邊檢	邊檢 🛂
便便	便便 💩
便当	便当 🍱
便當	便當 🍱
便利店	便利店 🏪
便利商店	便利商店 🏪
便条	便条 📝
便條	便條 📝
标靶	标靶 🎯
标签	标签 🏷 📑
标志	标志 ♠ ♣ ♥ ♦ ♿ ⚠ ⚡ ⛔ ✅ ➿ 🅰 🅱 🅾 🅿 🆎 💭 📵 🔞 🚫 🚬 🚭 🚮 🚯 🚰 🚱 🚳 🚷 🚸 🚹 🚺 🚻 🚼 🚽 🚾 🛂 🛃 🛄 🛅
標靶	標靶 🎯
標籤	標籤 🏷 📑
標誌	標誌 ♠ ♣ ♥ ♦ ♿ ⚠ ⚡ ⛔ ✅ ➿ 🅰 🅱 🅾 🅿 🆎 💭 📵 🔞 🚫 🚬 🚭 🚮 🚯 🚰 🚱 🚳 🚷 🚸 🚹 🚺 🚻 🚼 🚽 🚾 🛂 🛃 🛄 🛅
表	表 ⌚
表情	表情 ☺ 😁 😂 😃 😄 😅 😆 😇 😈 😉 😊 😋 😌 😍 😎 😏 😐 😒 😓 😔 😕 😖 😘 😚 😜 😝 😞 😠 😡 😢 😣 😤 😥 😨 😩 😪 😫 😭 😰 😱 😲 😳 😵 😶 😷 😸 😹 😺 😻 😼 😽 😾 😿 🙀
表演艺术	表演艺术 🎭
表演藝術	表演藝術 🎭
表意不好	表意不好 🙅
表意好	表意好 🙆
錶	錶 ⌚
憋屈	憋屈 🙎
別煩我	別煩我 😑
別理我	別理我 😑
別亂講	別亂講 🙊
別亂說	別亂說 🙊
別騙我	別騙我 😳
別墅	別墅 🏡
別墅區	別墅區 🏘
別說了	別說了 🤐
別在意	別在意 🙏
别烦我	别烦我 😑
别理我	别理我 😑
别乱讲	别乱讲 🙊
别乱说	别乱说 🙊
别骗我	别骗我 😳
别墅	别墅 🏡
别墅区	别墅区 🏘
别说了	别说了 🤐
别在意	别在意 🙏
宾馆	宾馆 🏨 🏩
賓館	賓館 🏨 🏩
冰刀	冰刀 ⛸
冰岛	冰岛 🇮🇸
冰島	冰島 🇮🇸
冰激淋	冰激淋 🍨
冰激凌	冰激凌 🍦 🍧 🍨
冰淇淋	冰淇淋 🍦 🍧 🍨
冰球	冰球 🏒
冰鞋	冰鞋 ⛸
饼干	饼干 🍪
餅乾	餅乾 🍪
病了	病了 🚑 🤒
病院	病院 🏥
波多黎各	波多黎各 🇵🇷
波兰	波兰 🇵🇱
波蘭	波蘭 🇵🇱
波浪	波浪 〰 🌊
波浪号	波浪号 〰
波浪號	波浪號 〰
波浪线	波浪线 〰
波浪線	波浪線 〰
波利维亚	波利维亚 🇧🇴
波利維亞	波利維亞 🇧🇴
波罗	波罗 🍍
波羅	波羅 🍍
波奈	波奈 🇧🇶
波士尼亚赫塞哥维纳	波士尼亚赫塞哥维纳 🇧🇦
波士尼亞	波士尼亞 🇧🇦
波士尼亞赫塞哥維納	波士尼亞赫塞哥維納 🇧🇦
波斯尼亚	波斯尼亚 🇧🇦
波斯尼亚和黑塞哥维纳	波斯尼亚和黑塞哥维纳 🇧🇦
波斯尼亞和黑塞哥維納	波斯尼亞和黑塞哥維納 🇧🇦
波扎那	波扎那 🇧🇼
波札那	波札那 🇧🇼
玻利维亚	玻利维亚 🇧🇴
玻利維亞	玻利維亞 🇧🇴
菠萝	菠萝 🍍
菠蘿	菠蘿 🍍
播放	播放 ⏯ ▶
播放一次	播放一次 🔂
伯利兹	伯利兹 🇧🇿
帛琉	帛琉 🇵🇼
泊车	泊车 🅿
泊車	泊車 🅿
博茨瓦纳	博茨瓦纳 🇧🇼
博奈尔	博奈尔 🇧🇶
博奈爾	博奈爾 🇧🇶
博兹瓦纳	博兹瓦纳 🇧🇼
薄饼	薄饼 🍕
薄餅	薄餅 🍕
不	不 🙅
不错	不错 😎
不错啊	不错啊 😀 😺
不錯	不錯 😎
不錯啊	不錯啊 😀 😺
不丹	不丹 🇧🇹
不得	不得 🚫
不得入内	不得入内 🚫
不懂	不懂 😵
不干	不干 😝 🙅
不敢看	不敢看 🙈
不敢说	不敢说 🙊
不敢說	不敢說 🙊
不敢听	不敢听 🙉
不敢聽	不敢聽 🙉
不幹	不幹 😝 🙅
不高兴	不高兴 😒 😠 😩
不高興	不高興 😒 😠 😩
不告诉你	不告诉你 😏
不告訴你	不告訴你 😏
不关我事	不关我事 💁
不關我事	不關我事 💁
不管	不管 💁
不好	不好 🆖 👎 🙅
不好吧	不好吧 😰
不好玩	不好玩 😝 😴
不好意思	不好意思 🙏
不怀好意	不怀好意 😼
不懷好意	不懷好意 😼
不会	不会 😝
不会吧	不会吧 😟 😦
不会啦	不会啦 😝
不會	不會 😝
不會吧	不會吧 😟 😦
不會啦	不會啦 😝
不见	不见 😣
不見	不見 😣
不讲	不讲 🤐
不講	不講 🤐
不开心	不开心 😔 😞 😠
不開心	不開心 😔 😞 😠
不看	不看 😣 🙈
不可	不可 🙅
不可能	不可能 😛 😟
不哭	不哭 🤗
不列颠	不列颠 🇬🇧
不列顛	不列顛 🇬🇧
不能看	不能看 🙈
不能说	不能说 😷 🙊
不能說	不能說 😷 🙊
不能听	不能听 🙉
不能聽	不能聽 🙉
不清楚	不清楚 😲
不是吧	不是吧 😢 😥 😿
不爽	不爽 ☹ 😕
不说	不说 😷 🙊 🤐
不说了	不说了 😷
不說	不說 😷 🙊 🤐
不說了	不說了 😷
不听	不听 🙉
不聽	不聽 🙉
不通	不通 ⛔ 🚧
不晓得	不晓得 😲
不曉得	不曉得 😲
不屑	不屑 😕
不信	不信 😓 😳
不行	不行 ✋ 🆖 😝 🙅
不许看	不许看 🙈
不许说	不许说 🙊
不许听	不许听 🙉
不許看	不許看 🙈
不許說	不許說 🙊
不許聽	不許聽 🙉
不要	不要 😣
不要怕	不要怕 🤗
不一定	不一定 😕
不允许	不允许 ❎
不允許	不允許 ❎
不知道	不知道 😲
不准	不准 🚫
不准看	不准看 🙈
不准说	不准说 🙊
不准說	不准說 🙊
不准听	不准听 🙉
不准聽	不准聽 🙉
不准吸烟	不准吸烟 🚭
不准吸煙	不准吸煙 🚭
布丁	布丁 🍮
布基纳法索	布基纳法索 🇧🇫
布基納法索	布基納法索 🇧🇫
布吉纳法索	布吉纳法索 🇧🇫
布吉納法索	布吉納法索 🇧🇫
布隆迪	布隆迪 🇧🇮
才怪	才怪 😒 🙄
财迷	财迷 🤑
財迷	財迷 🤑
裁判	裁判 🕴
彩带	彩带 🎀
彩蛋	彩蛋 🎉
彩虹	彩虹 🌈
彩礼	彩礼 💝
彩禮	彩禮 💝
彩旗	彩旗 🚩
彩球	彩球 🎊
彩色碎纸	彩色碎纸 🎊
彩色碎紙	彩色碎紙 🎊
彩心	彩心 💙 💚 💛 💜
綵帶	綵帶 🎀
綵蛋	綵蛋 🎉
綵旗	綵旗 🚩
綵球	綵球 🎊
踩	踩 👎
菜刀	菜刀 🔪
菜青虫	菜青虫 🐛
菜青蟲	菜青蟲 🐛
餐具	餐具 🍴
餐铃	餐铃 🛎
餐鈴	餐鈴 🛎
餐盘	餐盘 🍽
餐盤	餐盤 🍽
餐厅	餐厅 🍴
餐廳	餐廳 🍴
餐饮	餐饮 ☕
餐飲	餐飲 ☕
残疾人设施	残疾人设施 ♿
残阳	残阳 🌇
残月	残月 🌘 🌙
残障	残障 ♿
残障人士	残障人士 ♿
殘疾人設施	殘疾人設施 ♿
殘陽	殘陽 🌇
殘月	殘月 🌘 🌙
殘障	殘障 ♿
殘障人士	殘障人士 ♿
惨	惨 😫
慘	慘 😫
仓鼠	仓鼠 🐹
仓鼠脸	仓鼠脸 🐹
倉鼠	倉鼠 🐹
倉鼠臉	倉鼠臉 🐹
草	草 🌿
草地曲棍球	草地曲棍球 🏑
草花	草花 ♣
草莓	草莓 🍓
草莓蛋糕	草莓蛋糕 🍰
草药	草药 🌿
草藥	草藥 🌿
厕所	厕所 🚽 🚾
廁所	廁所 🚽 🚾
叉	叉 ❎
叉叉	叉叉 ❌
插头	插头 🔌
插頭	插頭 🔌
查包	查包 🛃
查德	查德 🇹🇩
查行李	查行李 🛃 🛄
查询	查询 📖 🔍
查詢	查詢 📖 🔍
查找	查找 🔍
查证	查证 🛂
查證	查證 🛂
茶	茶 🍵
茶杯	茶杯 🍵
差	差 👎
差佬	差佬 👮
差人	差人 👮
馋	馋 😋
饞	饞 😋
长度	长度 ↕
长号	长号 🎺
长货车	长货车 🚛
长裤	长裤 👖
长条图	长条图 📊
长筒靴	长筒靴 👢
长靴	长靴 👢
长者	长者 👴 👵
長度	長度 ↕
長號	長號 🎺
長貨車	長貨車 🚛
長褲	長褲 👖
長條圖	長條圖 📊
長筒靴	長筒靴 👢
長靴	長靴 👢
長者	長者 👴 👵
尝	尝 👅
常绿乔木	常绿乔木 🌲
常綠喬木	常綠喬木 🌲
常青树	常青树 🌲
常青樹	常青樹 🌲
嘗	嘗 👅
唱	唱 🎤
唱歌	唱歌 🎤
唱歌符号	唱歌符号 〽
唱歌符號	唱歌符號 〽
朝鲜	朝鲜 🇰🇵
朝鮮	朝鮮 🇰🇵
朝阳	朝阳 🌄
朝陽	朝陽 🌄
嘲讽	嘲讽 👎
嘲諷	嘲諷 👎
嘲弄	嘲弄 😝
嘲笑	嘲笑 😝
潮汐	潮汐 🌊
炒虾	炒虾 🍤
炒蝦	炒蝦 🍤
车	车 🚗 🚘
车来了	车来了 🚘
车厘子	车厘子 🍒
车站	车站 🚉 🚏
车子	车子 🚗 🚘
車	車 🚗 🚘
車來了	車來了 🚘
車厘子	車厘子 🍒
車站	車站 🚉 🚏
車子	車子 🚗 🚘
唓	唓 😏 😝
撤回	撤回 ↩
撤销	撤销 ↩
撤銷	撤銷 ↩
沉睡	沉睡 💤
沉思	沉思 😔
衬衫	衬衫 👔 👕
衬衫领带	衬衫领带 👔
衬衣	衬衣 👔
称赞	称赞 👍
稱贊	稱贊 👍
稱讚	稱讚 👍
襯衫	襯衫 👔 👕
襯衫領帶	襯衫領帶 👔
襯衣	襯衣 👔
撐傘	撐傘 ☔
撑伞	撑伞 ☔
成人	成人 🔞
成人节目	成人节目 🔞
成人節目	成人節目 🔞
成双成对	成双成对 👫
成雙成對	成雙成對 👫
城堡	城堡 🏯 🏰
城市	城市 🏙
乘	乘 ✖
乘号	乘号 ✖
乘號	乘號 ✖
橙子	橙子 🍊
秤	秤 ⚖
吃吧	吃吧 😋
吃饭	吃饭 🍚
吃角子老虎	吃角子老虎 🎰
吃惊	吃惊 😱 😲
吃驚	吃驚 😱 😲
吃面	吃面 🍜
吃药	吃药 💊
吃藥	吃藥 💊
喫吧	喫吧 😋
喫飯	喫飯 🍚
喫麵	喫麵 🍜
嗤笑	嗤笑 😏
尺	尺 📏
尺子	尺子 📏
齿轮	齿轮 ⚙
齒輪	齒輪 ⚙
赤道几内亚	赤道几内亚 🇬🇶
赤道幾内亞	赤道幾内亞 🇬🇶
赤道幾內亞	赤道幾內亞 🇬🇶
冲浪	冲浪 🏄
冲凉	冲凉 🚿
冲澡	冲澡 🚿
沖浪	沖浪 🏄
沖涼	沖涼 🚿
衝浪	衝浪 🏄
衝澡	衝澡 🚿
虫	虫 🐛
虫子	虫子 🐛 🐜
崇拜	崇拜 🙇
蟲	蟲 🐛
蟲子	蟲子 🐛 🐜
抽水马桶	抽水马桶 🚽
抽水馬桶	抽水馬桶 🚽
抽烟	抽烟 🚬
抽菸	抽菸 🚬
抽煙	抽煙 🚬
愁眉苦脸	愁眉苦脸 😒
愁眉苦臉	愁眉苦臉 😒
出国	出国 🚢
出國	出國 🚢
出海	出海 🚢
出警	出警 🚨
出生	出生 🐣
出事了	出事了 🚨
出游	出游 🚙
出遊	出遊 🚙
出租车	出租车 🚕 🚖
出租車	出租車 🚕 🚖
初心者	初心者 🔰
初中	初中 🏫
除	除 ➗
除号	除号 ➗
除號	除號 ➗
雏鸡	雏鸡 🐥
雏菊	雏菊 🌼
雛雞	雛雞 🐥
雛菊	雛菊 🌼
储放行李	储放行李 🛅
储蓄卡	储蓄卡 💳
儲放行李	儲放行李 🛅
儲蓄卡	儲蓄卡 💳
处女座	处女座 ♍
處女座	處女座 ♍
触电	触电 ⚡
觸電	觸電 ⚡
啜泣	啜泣 😢
传播	传播 📣
传呼机	传呼机 📟
传情	传情 😘
传声筒	传声筒 📣
传真	传真 📠
传真机	传真机 📠
船	船 🚢
船帆	船帆 ⛵
船锚	船锚 ⚓
船錨	船錨 ⚓
船坞	船坞 ⚓
船塢	船塢 ⚓
傳播	傳播 📣
傳呼機	傳呼機 📟
傳情	傳情 😘
傳聲筒	傳聲筒 📣
傳真	傳真 📠
傳真機	傳真機 📠
串烧	串烧 🍢
串燒	串燒 🍢
床	床 🛏
牀	牀 🛏
吹	吹 🌬
吹风	吹风 💨
吹風	吹風 💨
吹气	吹气 🌬
吹氣	吹氣 🌬
垂斯坦昆哈	垂斯坦昆哈 🇸🇭
锤	锤 🔨
锤子	锤子 🔨
錘子	錘子 🔨
鎚	鎚 🔨
鎚子	鎚子 🔨
春心	春心 💗
纯洁	纯洁 😇
唇	唇 👄
唇彩	唇彩 💄
唇膏	唇膏 💄
唇印	唇印 💋
純潔	純潔 😇
蠢	蠢 🐷
蠢材	蠢材 🐷
呲牙	呲牙 😁
茈花	茈花 🎇
磁带	磁带 📼
磁帶	磁帶 📼
磁碟	磁碟 💾
磁盘	磁盘 💾
磁盤	磁盤 💾
磁悬浮	磁悬浮 🚄
磁悬浮列车	磁悬浮列车 🚝
磁懸浮	磁懸浮 🚄
磁懸浮列車	磁懸浮列車 🚝
聪明	聪明 😇
聰明	聰明 😇
酢浆草	酢浆草 ☘
酢漿草	酢漿草 ☘
蹙眉	蹙眉 🙍
存包	存包 🛅
存入手机	存入手机 📲
存入手機	存入手機 📲
锉冰	锉冰 🍧
错误	错误 ✖ ❌ 🙅
銼冰	銼冰 🍧
錯誤	錯誤 ✖ ❌ 🙅
搭的	搭的 🚖
打靶	打靶 🎯
打板球	打板球 🏏
打草地曲棍球	打草地曲棍球 🏑
打叉	打叉 ✖ ❎
打叉符号	打叉符号 ✴ ❎
打叉符號	打叉符號 ✴ ❎
打车	打车 🚖
打車	打車 🚖
打的	打的 🚖
打电话	打电话 ☎ 📲
打電話	打電話 ☎ 📲
打高尔夫	打高尔夫 ⛳
打高爾夫	打高爾夫 ⛳
打勾	打勾 ☑ ✅ ✔
打击	打击 👊
打机	打机 🎮
打機	打機 🎮
打擊	打擊 👊
打结	打结 ➰
打結	打結 ➰
打开档案夹	打开档案夹 📂
打开的书本	打开的书本 📖
打开文件夹	打开文件夹 📂
打開檔案夾	打開檔案夾 📂
打開的書本	打開的書本 📖
打開文件夾	打開文件夾 📂
打瞌睡	打瞌睡 😪
打篮球	打篮球 ⛹
打籃球	打籃球 ⛹
打雷	打雷 🌩
打麻将	打麻将 🀄
打麻將	打麻將 🀄
打麻雀	打麻雀 🀄
打你	打你 👊
打牌	打牌 🃏
打扑克	打扑克 🃏
打撲克	打撲克 🃏
打球	打球 ⛹
打曲棍球	打曲棍球 🏒
打圈	打圈 ➰
打伞	打伞 ☔
打傘	打傘 ☔
打死你	打死你 👊
打旋	打旋 ➰
打印机	打印机 🖨
打印機	打印機 🖨
打游戏	打游戏 🎮
打遊戲	打遊戲 🎮
打招呼	打招呼 🙋
打折	打折 🈹
打针	打针 💉
打針	打針 💉
大巴	大巴 🚍
大巴车	大巴车 🚍
大巴車	大巴車 🚍
大白方	大白方 ⬜
大便	大便 💩
大不列颠	大不列颠 🇬🇧
大不列顛	大不列顛 🇬🇧
大恩	大恩 🙏
大恩大德	大恩大德 🙏
大方块	大方块 ⬛ ⬜
大方塊	大方塊 ⬛ ⬜
大幅降低	大幅降低 ⏬
大幅增高	大幅增高 ⏫
大喊	大喊 🗣
大黑方	大黑方 ⬛
大灰狼	大灰狼 🐺
大哭	大哭 😭
大喇叭	大喇叭 📣
大浪	大浪 🌊
大老鼠	大老鼠 🐀
大楼	大楼 🏙 🏢
大樓	大樓 🏙 🏢
大马	大马 🇲🇾
大馬	大馬 🇲🇾
大漠	大漠 🏜
大拇指	大拇指 👍
大桥	大桥 🌉
大橋	大橋 🌉
大人	大人 👨 👩
大声	大声 🔊
大声公	大声公 📣
大聲	大聲 🔊
大聲公	大聲公 📣
大头钉	大头钉 📌 📍
大頭釘	大頭釘 📌 📍
大厦	大厦 🏢
大廈	大廈 🏢
大象	大象 🐘
大笑	大笑 😂 😆
大写字母	大写字母 🔠
大寫字母	大寫字母 🔠
大熊猫	大熊猫 🐼
大熊貓	大熊貓 🐼
大雪	大雪 ☃
大洋洲	大洋洲 🌏
大雨	大雨 🌧
大闸蟹	大闸蟹 🦀
大閘蟹	大閘蟹 🦀
呆然	呆然 😐
带锁行李	带锁行李 🛅
帶鎖行李	帶鎖行李 🛅
袋鼠国	袋鼠国 🇦🇺
袋鼠國	袋鼠國 🇦🇺
戴口罩	戴口罩 😷
丹麦	丹麦 🇩🇰
丹麥	丹麥 🇩🇰
单板	单板 🏂
单板滑雪	单板滑雪 🏂
单车	单车 🚲
单峰骆驼	单峰骆驼 🐪
单峰驼	单峰驼 🐪
单轨电车	单轨电车 🚝
单轨列车	单轨列车 🚝
单曲播放	单曲播放 🔁
单曲循环	单曲循环 🔂
单人	单人 👤
单选按钮	单选按钮 🔘
单选框	单选框 🔘
担心	担心 😓
担忧	担忧 😔
單板	單板 🏂
單板滑雪	單板滑雪 🏂
單車	單車 🚲
單峰駱駝	單峰駱駝 🐪
單峰駝	單峰駝 🐪
單軌電車	單軌電車 🚝
單軌列車	單軌列車 🚝
單曲播放	單曲播放 🔁
單曲循環	單曲循環 🔂
單人	單人 👤
單選按鈕	單選按鈕 🔘
單選框	單選框 🔘
擔心	擔心 😓
擔憂	擔憂 😔
诞生	诞生 🐣
弹钢琴	弹钢琴 🎹
弹琴	弹琴 🎹
淡漠	淡漠 😐 🙎
蛋糕	蛋糕 🍰 🎂
蛋奶冻	蛋奶冻 🍮
蛋奶凍	蛋奶凍 🍮
誕生	誕生 🐣
彈鋼琴	彈鋼琴 🎹
彈琴	彈琴 🎹
当然	当然 🙄
当心儿童	当心儿童 🚸
當然	當然 🙄
當心兒童	當心兒童 🚸
档案	档案 📃 📄 🗃
档案袋	档案袋 🗂
档案柜	档案柜 🗄
档案盒	档案盒 🗃
档案夹	档案夹 📁
档案箱	档案箱 🗃
檔案	檔案 📃 📄 🗃
檔案袋	檔案袋 🗂
檔案櫃	檔案櫃 🗄
檔案盒	檔案盒 🗃
檔案夾	檔案夾 📁
檔案箱	檔案箱 🗃
刀	刀 🔪
刀叉	刀叉 🍴
导弹	导弹 🚀
导入手机	导入手机 📲
岛	岛 🏝
岛国	岛国 🗾
