# 单字全码
缤	bbaaoo
卞	bmovio
辩	bmovoa
辨	bmovou
鳊	bmuaoa
笾	bmuvau
鞭	bmviiv
匾	bmvoav
碥	bmvuoa
砭	bmvuuo
畚	bnaoia
苯	bniivi
锛	bniovu
倴	bnivuo
贲	bnuoao
坌	bnuovo
犇	bnuvuv
笨	bnuvvi
本	bnviuo
坋	bnvouo
栟	bnvouv
奔	bnvuuo
绑	bpaavv
浜	bpauiv
蚌	bpiavv
蒡	bpiiov
镑	bpioov
傍	bpiovo
搒	bpiuov
谤	bpoaov
𠳐	bpovvu
膀	bpuovo
塝	bpvoov
彭	bpvouu
榜	bpvov
棓	bpvovo
磅	bpvuov
邦	bpvvai
帮	bpvvia
梆	bpvvvv
棒	bpvvvv
玤	bpvvvv
绷	braauu
崩	briauu
蚌	briavv
镚	brioia
祊	broaov
嘣	broiai
蹦	broiia
迸	brouoa
堋	brvouu
甏	brvova
泵	brvuaa
甭	brvuua
琫	brvvvv
巴	bsaiva
妭	bsauvu
灞	bsavoa
岜	bsiaai
蚆	bsiaai
罢	bsiavo
芭	bsiiai
菝	bsiiiu
茇	bsiivu
钯	bsioai
把	bsiuai
捌	bsiuoa
扒	bsiuuo
拔	bsiuvu
吧	bsoaiv
跋	bsoivu
粑	bsouai
羓	bsouai
叭	bsouoo
疤	bsovai
鲃	bsuaai
鲌	bsuaui
鲅	bsuavu
魃	bsuivu
爸	bsuoai
八	bsuoo
笆	bsuvai
胈	bsuvua
靶	bsviai
坝	bsvoao
霸	bsvovi
朳	bsvuoo
耙	bsvvai
陂	bwaiau
贝	bwaoo
鐾	bwavio
臂	bwavuu
蓓	bwiiio
钡	bwioao
倍	bwiovo
邶	bwivai
悲	bwivoa
北	bwivua
背	bwivuu
辈	bwivva
被	bwoaau
褙	bwoaiv
呗	bwoaoo
悖	bwoouo
焙	bwouov
糒	bwouvi
庳	bwovui
狈	bwuaao
备	bwuaia
惫	bwuaoa
鹎	bwuiua
卑	bwuiuo
孛	bwuoai
勃	bwuoau
鞁	bwviai
鞴	bwvivi
椑	bwvuia
碚	bwvuov
碑	bwvuui
琲	bwvviv
杯	bwvvui
孢	bzaiua
瀑	bzaoiv
剥	bzavii
薄	bziiav
葆	bziiio
苞	bziiua
煲	bzioou
堡	bziovo
保	bziovv
报	bziuai
抱	bziuua
龅	bzivua
褓	bzoaio
曝	bzoioi
趵	bzoiua
暴	bzoivi
宝	bzoovv
爆	bzouoi
炮	bzouua
褒	bzovio
勹	bzuaa
包	bzuaav
刨	bzuaii
饱	bzuaua
鲍	bzuaua
鸨	bzuaua
豹	bzuoua
胞	bzuuaa
雹	bzvoua
枹	bzvuaa
缞	cbaaov
漼	cbaiai
翠	cbaoov
淬	cbaovi
崔	cbiaio
催	cbiiai
萃	cbiiov
摧	cbiuia
悴	cbooov
啐	cboovi
粹	cbouov
衰	cbovia
瘁	cbovov
脆	cbuuav
毳	cbuvuv
榱	cbvovi
璀	cbvvia
凑	cdovvv
腠	cduvvv
辏	cdvavv
楱	cdvvvv
测	ceaaoi
侧	ceiaoi
恻	ceooao
册	ceuaua
策	ceuvvi
坼	cevouu
厕	cevuao
栅	cevuau
骖	cfaaao
参	cfaouu
孱	cfavai
黪	cfiaao
掺	cfiuao
餐	cfivio
粲	cfivou
惨	cfooao
惭	cfoova
灿	cfouia
䅟	cfuvao
残	cfvuvv
蚕	cfvvia
璨	cfvviv
财	chaovi
睬	chiauo
偲	chiiav
蔡	chiiua
菜	chiiuo
踩	choiuo
猜	chuavv
裁	chuoov
彩	chuouu
采	chuovv
才	chviuu
材	chvviu
蔟	cjiiov
促	cjioiv
蹴	cjoiov
粗	cjouia
卒	cjovii
猝	cjuaov
徂	cjuuia
簇	cjuvov
酢	cjviuv
醋	cjvivi
殂	cjvuia
蹙	cjvuoi
泚	ckaivi
赐	ckaooi
伺	ckiavo
茲	ckiia
茈	ckiiiv
茨	ckiiov
莿	ckiivi
佽	ckiovu
雌	ckivio
此	ckivua
祠	ckoaav
词	ckoaav
跐	ckoiiv
呲	ckoivi
兹	ckouaa
慈	ckouoa
糍	ckouou
鹚	ckouua
差	ckouvi
疵	ckoviv
次	ckovua
瓷	ckovva
辞	ckuvov
刺	ckviii
磁	ckvuou
玼	ckvviv
嵯	cliaou
莝	cliiii
锉	clioii
错	cliovi
挫	cliuii
撮	cliuoi
搓	cliuou
措	cliuvi
鹾	clivou
蹉	cloiou
痤	clovii
瘥	clovou
脞	cluiiv
酂	cluvai
矬	cluvii
磋	clvuou
厝	clvuvi
瑳	clvvou
涔	cnaiai
参	cnaouu
岑	cniaio
沧	cpaiaa
仓	cpiaaa
鸧	cpiaua
伧	cpiiaa
苍	cpiiia
藏	cpiivu
舱	cpuuia
臧	cpvuvi
层	cravvv
嶒	criaou
蹭	croiou
噌	crooui
曾	crouia
擦	csiuoo
拆	csiuuu
嚓	csoooa
礤	csvuii
镩	ctiooo
撺	ctiuoo
攒	ctiuuv
蹿	ctoioo
窜	ctooia
爨	ctuivv
汆	ctuoaa
篡	ctuvia
皴	cwaoau
蹲	cwoiou
忖	cwoovi
吋	cwovio
邨	cwvaai
寸	cwvioo
存	cwvuai
村	cwvvio
骢	cyaaui
淙	cyaooa
从	cyiiii
苁	cyiiii
葱	cyiiua
丛	cyiivv
悰	cyoooo
熜	cyouui
匆	cyuauu
囱	cyuiua
枞	cyviii
聪	cyviou
琮	cyvvoo
璁	cyvvui
漕	czavia
螬	cziavi
草	cziioi
操	cziuoo
糙	czouuv
嘈	czovia
肏	czuoia
艚	czuuvi
曹	czvioi
𥕢	czvuvi
槽	czvvia
队	dbaiii
怼	dbaooa
对	dbaovi
镦	dbioov
祋	dboaua
兑	dbouua
憝	dbovoa
敦	dbovuv
追	dbuioa
堆	dbvoio
碓	dbvuio
汈	dcaavv
屌	dcavoi
刁	dcavv
铞	dciooi
钓	dcioua
铫	dciouo
掉	dciuiv
调	dcoaua
叼	dcoavv
吊	dcoiai
窎	dcooua
凋	dcovua
雕	dcuaio
鸟	dcuaoa
鲷	dcuaua
貂	dcuoau
碉	dcvuua
绖	ddaava
陡	ddaivo
叠	ddaoia
蚪	ddiaoo
蝶	ddiavi
蔸	ddiiui
钭	ddiooo
抖	ddiuoo
揲	ddiuvi
佚	ddiuvv
读	ddoauo
谍	ddoavi
昳	ddoiuv
跌	ddoiuv
蹀	ddoivi
斗	ddoouo
窦	ddoouo
咥	ddovao
喋	ddovii
痘	ddovvo
鲽	dduavi
兜	dduiua
牒	dduivi
都	dduoai
䏲	dduoua
爹	dduoua
耋	dduova
瓞	dduuuv
迭	dduvoa
篼	dduvui
逗	ddvooa
豆	ddvoou
垤	ddvova
堞	ddvovi
碟	ddvuvi
楪	ddvvii
锝	deiooi
嘚	deouui
的	deuiua
得	deuuoi
德	deuuuo
地	devoai
蛋	dfaiia
疍	dfaioi
赕	dfaoou
淡	dfaoui
澹	dfauav
弹	dfavou
眈	dfiaoa
萏	dfiiua
但	dfioiv
儋	dfiuav
担	dfiuoi
掸	dfiuou
诞	dfoaui
旦	dfoivv
惮	dfooou
憺	dfooua
啖	dfooui
郸	dfouai
单	dfouia
亶	dfovia
疸	dfovoi
瘅	dfovou
丹	dfuaov
胆	dfuoiv
膻	dfuovi
氮	dfuvou
箪	dfuvou
聃	dfviia
耽	dfvioa
石	dfvuoo
殚	dfvuou
鼎	dgiaav
町	dgiavi
盯	dgiavi
萣	dgiioo
锭	dgiooo
铤	dgiouv
钉	dgiovi
仃	dgivii
订	dgoavi
啶	dgoooa
定	dgoovi
叮	dgovii
疔	dgovvi
腚	dguooa
丁	dgvii
耵	dgvivi
酊	dgvivi
顶	dgvivu
碇	dgvuoo
玎	dgvvvi
绐	dhaaao
怠	dhaooa
迨	dhaooa
逮	dhavoa
代	dhivao
贷	dhivao
岱	dhivia
黛	dhivia
袋	dhivov
垈	dhivvo
傣	dhivvv
诒	dhoaao
呔	dhovuo
呆	dhovv
戴	dhuoia
待	dhuuvo
轪	dhvavu
棣	dhvavv
带	dhviia
埭	dhvoav
歹	dhvuao
殆	dhvuao
大	dhvuoo
叇	dhvvav
甙	dhvvii
玳	dhvviv
赌	djaouo
渡	djaovu
妒	djauoa
渎	djauoa
厾	djavoa
髑	djiaia
睹	djiauo
黩	djiauo
芏	djiivo
镀	djioov
督	djivia
读	djoauo
阇	djoiuo
嘟	djouov
度	djovao
独	djuaia
牍	djuiuo
都	djuoai
笃	djuvaa
肚	djuvoo
犊	djuvuo
蠹	djviia
堵	djvouo
椟	djvuoa
毒	djvvaa
杜	djvvoo
缔	dkaaov
翟	dkaoio
滴	dkaovo
涤	dkauao
娣	dkauou
媂	dkauov
嫡	dkauov
迪	dkiaoa
睇	dkiaou
骶	dkiaua
䗖	dkiavi
蒂	dkiiov
荻	dkiiua
菂	dkiiui
镝	dkioov
俤	dkioua
低	dkiuav
提	dkiuoi
抵	dkiuua
禘	dkoaov
谛	dkoaov
诋	dkoaua
踶	dkoioi
蹢	dkoiov
嘀	dkoovo
弟	dkouav
递	dkouoa
羝	dkouua
帝	dkovia
遆	dkovoa
底	dkovua
邸	dkuaai
狄	dkuaou
氐	dkuava
的	dkuiua
觌	dkuoia
籴	dkuoou
第	dkuvav
笛	dkuvia
敌	dkuvuv
棣	dkvavv
髢	dkviai
鞮	dkvioi
地	dkvoai
堤	dkvooi
坻	dkvoua
柢	dkvuav
䃅	dkvuou
碲	dkvuov
砥	dkvuua
𤧛	dkvvov
玓	dkvvua
杕	dkvvuo
缍	dlaauv
驮	dlaavu
隳	dlaiii
堕	dlaivo
隋	dlaivu
剟	dlaoii
沲	dlauva
铎	dlioao
掇	dliuao
裰	dloaao
咄	dloaii
踱	dloiov
跺	dloiua
惰	dloovu
哆	dlouao
哚	dlouav
度	dlovao
亸	dlovou
饳	dluaai
剁	dluaii
多	dluaua
朵	dluavv
躲	dluiua
舵	dluuoo
㙍	dlvoao
柁	dlvooa
垛	dlvoua
埵	dlvouv
夺	dlvuvi
阽	dmaiiv
淀	dmaooa
滇	dmauoi
殿	dmavua
典	dmiauo
巅	dmiauo
电	dmiavv
佃	dmiiav
钿	dmioia
掂	dmiuov
垫	dmiuvo
点	dmivoo
扂	dmoaiv
踮	dmoiov
惦	dmooov
奠	dmouvu
癜	dmovav
店	dmoviv
癫	dmovuo
甸	dmuaia
颠	dmuovu
簟	dmuvvi
坫	dmvoiv
碘	dmvuia
磹	dmvuvi
玷	dmvviv
琔	dmvvoo
靛	dmvvoo
扽	dniuva
凼	dpaaii
荡	dpiiaa
菪	dpiioo
当	dpioav
铛	dpioio
党	dpioua
挡	dpiuio
裆	dpoaio
谠	dpoaio
宕	dpoovu
筜	dpuvio
档	dpviou
𣗋	dpviou
垱	dpvoio
砀	dpvuau
珰	dpvvio
铥	dqiouv
丢	dquvao
澄	draaou
邓	draoai
凳	draoua
登	draovo
嶝	driaao
瞪	driaao
镫	drioao
噔	droaou
蹬	droiao
戥	droiva
灯	drouvi
簦	druvao
等	druvvo
磴	drvuao
璒	drvvao
溚	dsaiii
沓	dsaoii
妲	dsauoi
迚	dsiaoa
荙	dsiivu
𨱏	dsioii
搭	dsiuii
打	dsiuvi
褡	dsoaii
嗒	dsoiii
跶	dsoivu
怛	dsoooi
惮	dsooou
炟	dsouoi
嗲	dsouou
瘩	dsovii
哒	dsovuo
答	dsuviv
笪	dsuvoi
靼	dsvioi
鞑	dsvivu
垯	dsvovu
达	dsvuoa
大	dsvuoo
耷	dsvuvi
缎	dtaaui
耑	dtiavu
锻	dtioui
煅	dtouui
断	dtouuu
端	dtovia
段	dtuiua
簖	dtuvou
短	dtuvvo
塅	dtvoui
椴	dtvuiv
瑖	dtvvui
沌	dwavai
囤	dwiava
盹	dwiava
镦	dwioov
钝	dwiova
蹲	dwoiou
蹾	dwoiov
惇	dwooov
炖	dwouva
吨	dwovai
敦	dwovuv
遁	dwuuoa
得	dwuuoi
盾	dwuuuo
趸	dwvaoi
顿	dwvavu
墩	dwvoov
礅	dwvuov
砘	dwvuva
洞	dyaiav
峒	dyiaia
岽	dyiava
侗	dyiiav
董	dyiiuv
恫	dyooia
懂	dyooii
咚	dyouao
冻	dyovva
冬	dyuaoo
胴	dyuiav
胨	dyuvai
氡	dyuvua
东	dyvaiu
鸫	dyvaua
垌	dyvoia
硐	dyvuia
栋	dyvvai
动	dyvvau
刀	dzauu
导	dzavvi
帱	dziavv
捣	dziuua
捯	dziuva
倒	dzivao
叨	dzoauu
祷	dzoavv
蹈	dzoiuo
忉	dzooau
悼	dzooiv
道	dzouoa
盗	dzovia
鱽	dzuaau
岛	dzuaia
舠	dzuuau
氘	dzuvui
稻	dzuvuo
到	dzvaii
纛	dzvvia
焘	dzvvoo
水	ebaa
帨	ebiaou
睡	ebiauv
谁	eboaio
说	eboaou
税	ebuvou
绶	edaauo
收	edaiuv
售	ediooo
手	ediuu
授	ediuuo
守	edoovi
首	edouui
兽	edouvo
熟	edovoo
瘦	edovui
狩	eduaoo
受	eduoao
艏	eduuou
寿	edvvvi
涉	eeaivi
赊	eeaoiv
滠	eeavii
蛇	eeiaoo
折	eeiuuu
揲	eeiuvi
摄	eeiuvi
畬	eeivia
畲	eeivia
歙	eeivua
佘	eeivvi
舍	eeivvi
设	eeoaua
社	eeoavo
慑	eeoovi
麝	eeovui
猞	eeuaiv
射	eeuivi
舌	eeuvoo
赦	eevouv
奓	eevuua
奢	eevuuo
厍	eevuva
骟	efaaoa
缮	efaaou
汕	efaiai
陕	efaivo
赡	efaoua
嬗	efauov
姗	efauua
潸	efavvu
山	efiaii
蟮	efiaou
苫	efiiiv
芟	efiiua
钐	efiouu
掺	efiuao
掞	efiuoo
掸	efiuou
擅	efiuov
扇	efoaao
讪	efoaia
禅	efoaou
衫	efoauu
闪	efoiii
晱	efoiou
跚	efoiua
鄯	efouai
糁	efouao
单	efouia
剡	efouii
煽	efouoa
善	efouoo
疝	efovia
颤	efovvu
删	efuaii
鳝	efuaou
鳣	efuaov
膳	efuouv
膻	efuovi
舢	efuuia
墡	efvoou
埏	efvoui
栅	efvuau
杉	efvuuu
珊	efvvua
蟀	egiaov
帅	egiuia
摔	egiuov
率	egovaa
衰	egovia
甩	eguavv
晒	ehoivi
色	ehuaai
筛	ehuviu
酾	ehvivi
纾	ejaaao
书	ejaaio
疏	ejaiov
陎	ejaiuv
淑	ejaivv
赎	ejaouo
婌	ejauiv
恕	ejauoa
姝	ejauuv
漱	ejavia
沭	ejavoo
澍	ejavoo
属	ejavui
蜀	ejiaua
署	ejiauo
墅	ejiavo
蔬	ejiiai
薯	ejiiia
菽	ejiiiv
竖	ejiiov
倏	ejiiua
抒	ejiuao
摅	ejiuiv
鄃	ejiva
叔	ejivao
舒	ejivao
毹	ejivuv
曙	ejoiia
暑	ejoiuo
数	ejouuv
庶	ejovoo
熟	ejovoo
孰	ejovua
塾	ejovvo
殳	ejuaao
鼠	ejuiao
腧	ejuivu
黍	ejuvia
秫	ejuvvo
输	ejvaiv
树	ejvaov
束	ejviav
术	ejvo
述	ejvooa
梳	ejvova
戍	ejvuoo
殊	ejvuuv
琡	ejvviv
枢	ejvvuo
驶	ekaaia
浉	ekaiuv
湿	ekaoii
湜	ekaoiv
始	ekauao
虱	ekauia
屎	ekavou
鸤	ekavua
尸	ekavuu
似	ekiaoi
峙	ekiavo
畤	ekiavo
史	ekiavu
莳	ekiioi
蓍	ekiiuo
食	ekioav
铈	ekioov
势	ekiuau
拾	ekiuiv
逝	ekiuoa
什	ekiuoo
誓	ekiuov
师	ekiuvi
拭	ekiuvv
使	ekivia
仕	ekivoo
侍	ekivov
视	ekoaia
识	ekoaou
谥	ekoaou
祏	ekoav
呞	ekoavo
诗	ekoavo
襫	ekoavv
试	ekoavv
匙	ekoiua
嘘	ekoiva
时	ekoivi
是	ekoivi
实	ekoooo
恃	ekoov
室	ekoova
嗜	ekouov
噬	ekouvo
炻	ekouvu
市	ekovia
施	ekovuv
鲺	ekuaau
蚀	ekuaia
狮	ekuaiu
鲥	ekuaoi
饰	ekuauv
氏	ekuava
鼫	ekuivu
释	ekuoao
十	ekuoo
弑	ekuovv
适	ekuvoa
舐	ekuvua
䏡	ekuvvi
筮	ekuvvi
失	ekuvvu
矢	ekuvvu
轼	ekvavv
贳	ekviao
事	ekviav
世	ekviiv
䴓	ekviua
酾	ekvivi
邿	ekvoai
螫	ekvoia
士	ekvoo
埘	ekvooi
柿	ekvovi
豕	ekvuau
石	ekvuoo
殖	ekvuuo
示	ekvviu
式	ekvviv
奭	ekvvuv
栻	ekvvvi
妁	elauua
蒴	eliiou
铄	elioua
搠	eliuou
说	eloaou
烁	elouua
朔	elouuu
槊	elouvv
硕	elvuvu
骦	emaavi
双	emaoao
孀	emauvo
泷	emavua
鹴	emvoua
霜	emvovi
爽	emvuou
礵	emvuvo
绅	enaaia
渗	enaaov
沈	enaoau
深	enaoau
渖	enaooa
参	enaouu
婶	enauoo
娠	enauvu
屾	eniaia
瞫	eniavi
申	eniavv
伸	eniiav
莘	eniiov
肾	eniiuu
葚	eniivi
什	eniuoo
侁	eniuvi
神	enoaia
谂	enoaio
诜	enoauv
谌	enoavi
呻	enoiav
审	enooia
慎	enoouo
糁	enouao
燊	enouvv
瘆	enovao
哂	enovia
鲹	enuaao
胂	enuiav
身	enuiav
矧	enuvav
甡	enuvuv
甚	enviuo
砷	envuia
蜃	envuia
珅	envvia
椹	envvii
绱	epaaio
汤	epaauu
赏	epioao
尚	epioia
裳	epioov
伤	epiuva
上	epivvv
晌	epoiui
熵	epouov
商	epovia
觞	epuauv
墒	epvoov
垧	epvoui
殇	epvuuv
涮	eqaavu
刷	eqavii
唰	eqoavu
耍	eqvuau
绳	eraaoi
陞	eraiuv
渑	eraoia
圣	eraovo
嵊	eriauv
省	eriuia
昇	eroiuv
晟	eroivu
胜	eruuvv
甥	eruvia
眚	eruvia
剩	eruvii
乘	eruviv
升	eruvui
牲	eruvuv
笙	eruvuv
生	eruvvi
声	ervoai
盛	ervuia
纱	esaaiu
裟	esaiov
鲨	esaiua
沙	esaiuo
莎	esiiai
铩	esiouo
傻	esiuia
啥	esoivv
唼	esoovo
痧	esovai
嗄	esovui
煞	esuaoo
刹	esuoii
杀	esuovv
歃	esuvua
霎	esvoov
砂	esvuiu
杉	esvuuu
厦	esvuvu
涮	etaavu
拴	etiuiv
闩	etoivv
腨	etuiai
栓	etvivv
瞬	ewiauo
谁	ewoaio
吮	ewoaou
顺	ewuivu
舜	ewuoua
楯	ewvuuu
骦	exaavi
双	exaoao
孀	exauvo
泷	exavua
鹴	exvoua
霜	exvovi
爽	exvuou
礵	exvuvo
绍	ezaaau
邵	ezauai
劭	ezauau
召	ezauoo
潲	ezauvi
蛸	eziaio
苕	eziiau
芍	eziiua
捎	eziuio
少	eziuou
哨	ezoiou
烧	ezouva
韶	ezovau
勺	ezuaoo
艄	ezuuio
稍	ezuvio
筲	ezuvio
柖	ezvauo
鞘	ezviio
梢	ezviou
杓	ezvuao
玿	ezvvau
缀	fbaaao
骓	fbaaio
缒	fbaaui
坠	fbaivo
锥	fbioio
隹	fbiovv
揣	fbiuia
惴	fbooia
追	fbuioa
椎	fbviov
赘	fbvvao
覅	fcviua
绉	fdaaua
纣	fdaavi
骤	fdaavi
赒	fdaoua
洲	fdaouo
妯	fdauia
婤	fdauua
帚	fdavia
昼	fdavoi
粥	fdavou
胄	fdiauu
荮	fdiiaa
㑇	fdiuaa
诌	fdoaua
宙	fdooia
咒	fdooua
啁	fdouav
州	fdouoi
皱	fduaau
周	fduavo
繇	fduoua
舟	fduuao
鸼	fduuua
肘	fduvio
籀	fduviu
缶	fduvvi
轴	fdvaia
辀	fdvauu
酎	fdvivi
不	fdvuio
否	fdvuoo
碡	fdvuvv
浙	feaiuu
蔗	feiiov
锗	feiouo
摺	feiuao
蛰	feiuia
蜇	feiuia
晢	feiuoi
哲	feiuoo
折	feiuuu
褶	feoaao
谪	feoaov
褚	feoauo
着	feouia
啫	feouov
䗪	feovia
这	feovoa
遮	feovoa
鹧	feovua
者	feuooi
辙	fevaov
辄	fevavi
赭	fevouo
喆	fevovo
詟	fevuov
磔	fevuua
柘	fevvuo
氾	ffaaaa
贩	ffaouu
泛	ffauoa
帆	ffiaua
幡	ffiauo
畈	ffiauu
范	ffiiaa
藩	ffiiau
蕃	ffiiuo
蘩	ffiiuv
钒	ffioua
蹯	ffoiuo
燔	ffouuo
烦	ffouvu
犯	ffuaaa
凡	ffuaoo
饭	ffuauu
翻	ffuoao
番	ffuoia
反	ffuuao
返	ffuuoa
繁	ffuvaa
墦	ffvouo
矾	ffvuua
樊	ffvuvu
梵	ffvvua
璠	ffvvuo
拽	fgiuia
跩	fgoiia
转	fgvavv
翟	fhaoio
侧	fhiaoi
择	fhiuao
摘	fhiuov
债	fhivvi
砦	fhivvu
宅	fhoouv
窄	fhoouv
寨	fhoovv
瘵	fhovua
斋	fhovvu
祭	fhuavv
绋	fjaaav
驸	fjaaiv
缚	fjaavi
绂	fjaavu
附	fjaiiv
洑	fjaivu
赙	fjaovi
涪	fjaovo
赋	fjaovv
妇	fjauav
浮	fjauoo
㳇	fjauou
滏	fjauou
弗	fjavau
艴	fjavua
幅	fjia
幞	fjiaii
蜉	fjiauo
蝮	fjiauv
佛	fjiava
蝠	fjiavo
罘	fjiavu
蚨	fjiavv
䓛	fjiiav
茀	fjiiav
苻	fjiiiv
茯	fjiiiv
菔	fjiiua
莩	fjiiuo
芾	fjiivi
莆	fjiivi
黼	fjiivi
芣	fjiivu
黻	fjiivu
芙	fjiivv
俯	fjiovu
拂	fjiuav
拊	fjiuiv
俘	fjiuoo
扶	fjiuvv
抚	fjiuvv
傅	fjivia
付	fjivio
伏	fjivuo
讣	fjoaio
袱	fjoaiv
福	fjoavo
祓	fjoavu
跗	fjoiiv
咐	fjoivi
趺	fjoivv
怫	fjooav
宓	fjoooa
富	fjoovo
㕮	fjouou
鄜	fjovai
腐	fjovia
府	fjoviv
呋	fjovvu
呒	fjovvu
负	fjuaao
服	fjuaia
鲋	fjuaiv
凫	fjuaua
孵	fjuauo
鳆	fjuauv
匐	fjuavo
阜	fjuiuo
孚	fjuoai
郛	fjuoai
父	fjuouo
斧	fjuouu
腑	fjuovu
釜	fjuovv
腹	fjuuvo
氟	fjuvav
脯	fjuvia
符	fjuviv
复	fjuvoi
稃	fjuvuo
馥	fjuvuv
簠	fjuvvi
肤	fjuvvu
辅	fjvavi
辐	fjvavo
甫	fjviav
覆	fjviuu
敷	fjviuv
副	fjvoii
赴	fjvoio
砩	fjvuav
桴	fjvuoo
砆	fjvuvv
榑	fjvvia
夫	fjvvuo
琈	fjvvuo
韨	fjvvvu
玞	fjvvvv
麸	fjvvvv
滍	fkaaii
治	fkaaoo
织	fkaaou
纸	fkaaua
彘	fkaauv
骘	fkaiaa
陟	fkaiiv
沚	fkaivi
泜	fkauav
汁	fkauoo
滞	fkavii
咫	fkavou
ㄓ	fkiaiv
帜	fkiaou
置	fkiauo
帙	fkiauv
蜘	fkiauv
蛭	fkiava
峙	fkiavo
畤	fkiavo
